timestamp,user_id,external_user_id,game_type,result,bet_amount,payout_amount,balance_after,session_id,game_metadata
2025-01-20T10:00:00Z,1,ext_user_001,DICE,WIN,100,200,5100,sess_2025_001,"{""dice_value"": 6}"
2025-01-20T10:01:30Z,1,ext_user_001,DICE,LOSE,100,0,5000,sess_2025_001,"{""dice_value"": 2}"
2025-01-20T10:03:00Z,1,ext_user_001,DICE,LOSE,100,0,4900,sess_2025_001,"{""dice_value"": 3}"
2025-01-20T10:04:30Z,1,ext_user_001,DICE,LOSE,100,0,4800,sess_2025_001,"{""dice_value"": 1}"
2025-01-20T10:06:00Z,1,ext_user_001,DICE,LOSE,100,0,4700,sess_2025_001,"{""dice_value"": 2}"
2025-01-20T10:07:30Z,1,ext_user_001,DICE,LOSE,100,0,4600,sess_2025_001,"{""dice_value"": 3}"
2025-01-20T10:10:00Z,2,ext_user_002,SLOT,WIN,50,150,3150,sess_2025_002,"{""symbols"": [""7"",""7"",""7""]}"
2025-01-20T10:12:00Z,2,ext_user_002,SLOT,LOSE,50,0,3100,sess_2025_002,"{""symbols"": [""BAR"",""CHERRY"",""LEMON""]}"
2025-01-20T10:15:00Z,3,ext_user_003,ROULETTE,LOSE,200,0,2800,sess_2025_003,"{""bet_type"": ""red"", ""result"": ""black_12""}"
2025-01-20T10:20:00Z,3,ext_user_003,ROULETTE,LOSE,200,0,2600,sess_2025_003,"{""bet_type"": ""odd"", ""result"": ""even_24""}"
2025-01-20T10:25:00Z,3,ext_user_003,ROULETTE,LOSE,200,0,2400,sess_2025_003,"{""bet_type"": ""1-18"", ""result"": ""19""}"
2025-01-20T10:30:00Z,3,ext_user_003,ROULETTE,LOSE,200,0,2200,sess_2025_003,"{""bet_type"": ""dozen_1"", ""result"": ""27""}"
2025-01-20T10:35:00Z,3,ext_user_003,ROULETTE,LOSE,200,0,2000,sess_2025_003,"{""bet_type"": ""column_1"", ""result"": ""23""}"
