status,method,path,doc_files,openapi_methods_for_path,openapi_security_required
MISSING,DELETE,/api/admin-mission/{mission_id},docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,DELETE,/api/v2/admin/users/{id},docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/01.admin.md,,
OK,DELETE,/api/v2/admin/users/{user_id},docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/00_con.md|docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/user/20260126_user_delete_api_path_fix.md,"DELETE,GET",True
MISSING,GET,/api/admin-mission/,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/dev/test-auth,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/dice/status,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
OK,GET,/api/events/status,docs/v2_specs/08_changelog/통합/v2_fullstack_observation_mapping_20260124.md|docs/v2_specs/90_troubleshooting/archive/weekly/W05_MISSION_troubleshooting.md,GET,True
MISSING,GET,/api/health,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md|docs/v2_specs/05_ops/deployment/v2_deployment_docker_compose_guide_ko.md,,
MISSING,GET,/api/inventory,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/level-xp/status,docs/v2_specs/90_troubleshooting/W06_FRONTEND_troubleshooting.md|docs/v2_specs/90_troubleshooting/W06_LEVEL_troubleshooting.md|docs/v2_specs/90_troubleshooting/archive/2026_01_31_multi_table_fk_fix.md,,
MISSING,GET,/api/lottery/status,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/mission/,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/mission/streak/rules,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/new-user/status,docs/v2_specs/02_game/v2_new_user_mission_logic_sot_ko.md|docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/roulette/status,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/shop/products,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/team-battle/seasons/active,docs/v2_specs/02_game/v2_team_battle_sot_ko.md|docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/team-battle/teams,docs/v2_specs/02_game/v2_team_battle_sot_ko.md|docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/team-battle/teams/leaderboard,docs/v2_specs/02_game/v2_team_battle_sot_ko.md|docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/team-battle/teams/me,docs/v2_specs/02_game/v2_team_battle_sot_ko.md|docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/team-battle/teams/{team_id}/contributors,docs/v2_specs/02_game/v2_team_battle_sot_ko.md,,
MISSING,GET,/api/team-battle/teams/{team_id}/contributors/me,docs/v2_specs/02_game/v2_team_battle_sot_ko.md,,
MISSING,GET,/api/today-feature,docs/v2_specs/03_api/v1/v1_legacy_api_list_ko.md,,
MISSING,GET,/api/v2/admin/analytics/game-summary,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/golden/13.game_log_csv_import_spec.md,,
OK,GET,/api/v2/admin/analytics/marketing/channel-performance,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/analytics/retention,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/analytics/retention/trend,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/analytics/revenue/breakdown,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/analytics/revenue/summary,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
MISSING,GET,/api/v2/admin/daily-nudge/configs,docs/v2_specs/07_golden/2026_01_29_golden_v2_feature_routing_map_ko.md,,
OK,GET,/api/v2/admin/daily-nudge/statistics,docs/v2_specs/07_golden/2026_01_29_golden_v2_remaining_implementation_guide_ko.md,GET,True
OK,GET,/api/v2/admin/daily-nudge/targets,docs/v2_specs/00_sot_meta/1차_2026_v2_final_deployment_master_checklist_ko.md|docs/v2_specs/00_sot_meta/1차_2026_v2_production_deployment_checklist_ko.md|docs/v2_specs/07_golden/2026_01_29_golden_v2_remaining_implementation_guide_ko.md,GET,True
OK,GET,/api/v2/admin/dashboard/metrics,docs/v2_specs/08_changelog/통합/v2_fullstack_integration_ground_sot_ko.md|docs/v2_specs/08_changelog/통합/v2_fullstack_integration_test_logs_admin_20260124.md,GET,True
MISSING,GET,/api/v2/admin/deposits,docs/v2_specs/06_design/v2_admin_master_plan_ko.md,,
OK,GET,/api/v2/admin/deposits/unmatched,docs/v2_specs/07_golden/v2_golden_hq_margin_cc_deposit_auto_reflection_design_ko.md,GET,True
OK,GET,/api/v2/admin/deposits/unmatched/stats,docs/v2_specs/07_golden/v2_golden_hq_margin_cc_deposit_auto_reflection_design_ko.md,GET,True
OK,GET,/api/v2/admin/economy/circuit-breaker/status,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/01.adminguide.md|docs/v2_specs/07_golden/2026_01_29_golden_v2_feature_routing_map_ko.md,GET,True
OK,GET,/api/v2/admin/economy/deposits/unmatched,docs/v2_specs/07_golden/v2_patch_execution_log_ko.md,GET,True
OK,GET,/api/v2/admin/economy/latency-evidences,docs/v2_specs/07_golden/2026_01_29_golden_v2_feature_routing_map_ko.md,GET,True
MISSING,GET,/api/v2/admin/game-logs,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/golden/13.game_log_csv_import_spec.md,,
OK,GET,/api/v2/admin/game/dice/config,docs/v2_specs/06_design/V2_admin_pages_list.md|docs/v2_specs/07_golden/golden_v2_core_economy_glossary_ko.md,GET,True
OK,GET,/api/v2/admin/game/lottery/configs,docs/v2_specs/06_design/V2_admin_pages_list.md,GET,True
OK,GET,/api/v2/admin/game/missions,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/mission/learned_context_summary_mission.md|docs/v2_specs/06_design/V2_admin_pages_list.md,"GET,POST",True
OK,GET,/api/v2/admin/game/missions/login-verify,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md|docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/mission/20260130_mission_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/game/missions/stats,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md|docs/v2_specs/05_ops/0000_2026_v2_deployment_troubleshooting_guide_ko.md,GET,True
MISSING,GET,/api/v2/admin/game/roulette,docs/v2_specs/06_design/v2_admin_master_plan_ko.md,,
OK,GET,/api/v2/admin/inventory/gifticon/deliveries,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
OK,GET,/api/v2/admin/inventory/logs,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/inventory/20260204_admin_revoke_log_alignment.md|docs/v2_specs/90_troubleshooting/W05_FRONTEND_troubleshooting.md|docs/v2_specs/90_troubleshooting/W06_INVENTORY_troubleshooting.md|docs/v2_specs/90_troubleshooting/archive/weekly/W05_FRONTEND_troubleshooting.md,GET,True
OK,GET,/api/v2/admin/inventory/stock-alerts,docs/v2_specs/00_sot_meta/00_A_sot_code_ops_chk/learned_/admin/20260129_v2_admin_features_update.md,GET,True
MISSING,GET,/api/v2/admin/mission/users/{user_id},docs/v2_specs/00_sot_meta/1차_2026_v2_final_deployment_master_checklist_ko.md,,
