path,domain,doc_type,version,created_at,author,target,status,final_review_at,redirect_target
docs/chat_guidelines.md,unknown,,,,,,,,
docs/plans/2026-01-28-golden-evidence-center.md,unknown,,,,,,,,
docs/plans/2026-01-28-golden-semi-auto-crm.md,unknown,,,,,,,,
docs/v1archive/06_ops/06_ops_runbook_v1.0.md,unknown,,,,,,,,
docs/v1archive/06_ops/06_test_mode_spec_v1.0.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exports/20260118_운영일지_DailyFocused.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exports/20260119_운영일지_DailyFocused.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/rawdata/20260117_casino_logs_raw.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/rawdata/20260117_sports_logs_raw.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260117]_운영일지.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260117]_운영일지_DailyFocused_Fixed_v4.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260118]_개발일지.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260118]_운영_아이디어_제안.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260118]_운영일지_오전_final.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/[20260118]_텔레그램_공지_템플릿.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/데일리_운영일지_템플릿.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/엑셀 raw데이터 분석.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/exterior/도파민엑셀/운영일지_템플릿.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/research/telegram_verification_standards.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/response_templates/cherry_dialogues.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민01_신규유저_미션_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민02_외부데이터_활용_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민03_migration_guide_phase1_2_3.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민03_roulette_rtp_params.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민03_게임보상_개편_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민03_프론트_UI_요구사항_스펙.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민03_현황체크_및_갭분석.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민04_리텐션_장치_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민04_백엔드_구현_체크리스트.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민04_프론트엔드_구현_체크리스트.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민05_백엔드_구현_계획서.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민05_백엔드_구현_체크리스트.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민05_이벤트_장치_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민05_프론트엔드_구현_계획서.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민05_프론트엔드_구현_체크리스트.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_로드맵_및_기타_가이드.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_백엔드_구현_계획서.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_백엔드_구현_체크리스트.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_전략분석.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_프론트엔드_구현_계획서.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민06_프론트엔드_구현_체크리스트.md,unknown,,,2026-01-14,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민1차_2026_renewal_1on1_scripts.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민1차_2026_user_segment_list.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민1차_dopamine_rebrand_notice.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민1차/도파민1차_final_dopamine_rebrand_notice.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/20260106_unified_economy_devlog.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/20260106_unified_economy_patch_plan_ko.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/20260106_unified_economy_refactoring_checklist.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/20260110_retention_master_plan_and_analysis.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/20260113_ops_crisis_scenarios_spec.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/UI_MODAL_LIST.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/[20261월둘째주]01_retention_feature_specs_v1.0.md,unknown,설계,v1.0,2026-01-09,BE팀 (Antigravity),"BE 개발자, FE 개발자",SoT,,
docs/v1archive/06_ops/202601/도파민2차/[20261월첫째주] [2026001#] elderly_user_guide_ko.md,unknown,가이드,v0.1,2026-01-04,운영/개발팀 (초안: Copilot),,,,
docs/v1archive/06_ops/202601/도파민2차/[20261월첫째주] [2026001#] unified_economy_and_progression_ko.md,unknown,,,,,,,,
docs/v1archive/06_ops/202601/도파민2차/[20261월첫째주] [2026001#] 현재앱리텐션요소종합 분석.md,unknown,,,,,,TicketZeroPanel.tsx 비활성화 (return null),,
